semantic_id,tune_id,signed_pdg,component,quantity,unit,value_hex,status,uncertainty_status
62af282ef58537f7e85f223c9d1792da2f0e18b4218acb5d2f300df295d29206,CLOSEPACKING,-413,hadron_count,raw_weighted_sum,weighted_count,0x1.03ab6e0000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
85d20fc6a1ea170199247ad1282334f3b56274cd2e37700f8a6122872e7d6eac,JUNCTIONS,-413,hadron_count,raw_weighted_sum,weighted_count,0x1.07e51d0000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
8d2387f4666cfa348973c6b58ac6cb05fed616a50a29929273be431dc2bc1c17,MONASH,-413,hadron_count,raw_weighted_sum,weighted_count,0x1.2de8010000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
ffb38e0618efd56b45dd990be871d06346fd937e464dc35dad0149c017533f50,CLOSEPACKING,-4132,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
034bb228eb675741083c204280adf1a3304ba65725e7a61379b1858ed26dc32a,JUNCTIONS,-4132,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
5ac2d56c3132905c9141ebde48676da57210eebbcae30fb4193afbdc3a9bfc8f,MONASH,-4132,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
80617c7fe60419481efb0009c26d671bf07daf1df1c578717934356237c42661,CLOSEPACKING,-4132,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
f150a728e1c741512347053d9f59f51a61dc8ab45c806f750cd6de855ca83fcc,JUNCTIONS,-4132,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
6dbfb4f992d9aec6065a5cc1fb10789a70271669f4b6b99eba19c98c78387cb2,MONASH,-4132,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
aefb3655ea8003e072fa3384626b7bd250f4f9e57f4048d5c3043689adbb0eae,CLOSEPACKING,-4132,charm_plus_anticharm_constituent_count,raw_count,count,0x1.359ee00000000p+19,AVAILABLE,WITHHELD_UNCERTAINTY
